Date,Delivery Month,Settlement Price
2020/07/15,202007,12220
2020/06/17,202006,11520
2020/05/20,202005,10887
2020/04/15,202004,10451
2020/03/18,202003,9264
2020/02/19,202002,11760
2020/01/15,202001,12063
2019/12/18,201912,12119
2019/11/20,201911,11608
2019/10/16,201910,11146
2019/09/18,201909,10960
2019/08/21,201908,10528
2019/07/17,201907,10831
2019/06/19,201906,10770
2019/05/15,201905,10580
2019/04/17,201904,11005
2019/03/20,201903,10545
2019/02/20,201902,10256
2019/01/16,201901,9784
2018/12/19,201812,9768
2018/11/21,201811,9743
2018/10/17,201810,9994
2018/09/19,201809,10872
2018/08/15,201808,10737
2018/07/18,201807,10844
2018/06/20,201806,10936
2018/05/16,201805,10872
2018/04/18,201804,10846
2018/03/21,201803,11045
2018/02/21,201802,10705
2018/01/17,201801,11020
2017/12/20,201712,10497
2017/11/15,201711,10638
2017/10/18,201710,10728
2017/09/20,201709,10510
2017/08/16,201708,10254
2017/07/19,201707,10500
2017/06/21,201706,10369
2017/05/17,201705,10000
2017/04/19,201704,9639
2017/03/15,201703,9733
2017/02/15,201702,9799
2017/01/18,201701,9340
2016/12/21,201612,9232
2016/11/16,201611,8984
2016/10/19,201610,9280
2016/09/21,201609,9221
2016/08/17,201608,9121
2016/07/20,201607,9003
2016/06/15,201606,8602
2016/05/18,201605,8149
2016/04/20,201604,8519
2016/03/16,201603,8691
2016/02/17,201602,8212
2016/01/20,201601,7704
2015/12/16,201512,8198
2015/11/18,201511,8335
2015/10/21,201510,8617
2015/09/16,201509,8318
2015/08/19,201508,8002
2015/07/15,201507,9029
2015/06/17,201506,9181
2015/05/20,201505,9668
2015/04/15,201504,9520
2015/03/18,201503,9633
2015/02/24,201502,9623
2015/01/21,201501,9309
2014/12/17,201412,8843
2014/11/19,201411,8953
2014/10/15,201410,8646
2014/09/17,201409,9172
2014/08/20,201408,9275
2014/07/16,201407,9483
2014/06/18,201406,9302
2014/05/21,201405,8860
2014/04/16,201404,8954
2014/03/19,201403,8696
2014/02/19,201402,8556
2014/01/15,201401,8610
2013/12/18,201312,8338
2013/11/20,201311,8219
2013/10/16,201310,8344
2013/09/18,201309,8238
2013/08/22,201308,7813
2013/07/17,201307,8241
2013/06/19,201306,8019
2013/05/15,201305,8303
2013/04/17,201304,7808
2013/03/20,201303,7795
2013/02/20,201302,8022
2013/01/16,201301,7718
2012/12/19,201212,7659
2012/11/21,201211,7084
2012/10/17,201210,7460
2012/09/19,201209,7767
2012/08/15,201208,7468
2012/07/18,201207,7060
2012/06/20,201206,7311
2012/05/16,201205,7255
2012/04/18,201204,7620
2012/03/21,201203,7980
2012/02/15,201202,8005
2012/01/18,201201,7207
2011/12/21,201112,6952
2011/11/16,201111,7398
2011/10/19,201110,7330
2011/09/21,201109,7537
2011/08/17,201108,7754
2011/07/20,201107,8697
2011/06/15,201106,8839
2011/05/18,201105,8934
2011/04/20,201104,8792
2011/03/16,201103,8305
2011/02/16,201102,8719
2011/01/19,201101,9083
2010/12/15,201012,8727
2010/11/17,201011,8246
2010/10/20,201010,8119
2010/09/15,201009,8154
2010/08/18,201008,7918
2010/07/21,201007,7687
2010/06/17,201006,7520
2010/05/19,201005,7576
2010/04/21,201004,7980
2010/03/17,201003,7842
2010/02/22,201002,7558
2010/01/20,201001,8214
2009/12/16,200912,7752
2009/11/18,200911,7786
2009/10/21,200910,7705
2009/09/16,200909,7445
2009/08/19,200908,6795
2009/07/15,200907,6762
2009/06/17,200906,6203
2009/05/20,200905,6697
2009/04/15,200904,5860
2009/03/18,200903,5067
2009/02/18,200902,4514
2009/01/21,200901,4258
2008/12/17,200812,4667
2008/11/20,200811,4127
2008/10/16,200810,5069
2008/09/18,200809,5559
2008/08/21,200808,6990
2008/07/17,200807,6885
2008/06/19,200806,8069
2008/05/22,200805,8887
2008/04/17,200804,9178
2008/03/20,200803,8171
2008/02/21,200802,7987
2008/01/17,200801,8268
2007/12/20,200712,8026
2007/11/22,200711,8445
2007/10/18,200710,9596
2007/09/20,200709,8999
2007/08/16,200708,8391
2007/07/19,200707,9459
2007/06/21,200706,8799
2007/05/17,200705,8061
2007/04/19,200704,7980
2007/03/22,200703,7843
2007/02/27,200702,7900
2007/01/18,200701,7845
2006/12/21,200612,7649
2006/11/16,200611,7270
2006/10/19,200610,7002
2006/09/21,200609,6926
2006/08/17,200608,6750
2006/07/20,200607,6418
2006/06/22,200606,6413
2006/05/18,200605,6998
2006/04/20,200604,7064
2006/03/16,200603,6519
2006/02/16,200602,6656
2006/01/19,200601,6491
2005/12/22,200512,6497
2005/11/17,200511,6052
2005/10/20,200510,5714
2005/09/22,200509,6009
2005/08/18,200508,6249
2005/07/21,200507,6382
2005/06/16,200506,6290
2005/05/19,200505,5975
2005/04/21,200504,5600
2005/03/17,200503,6011
2005/02/17,200502,6110
2005/01/20,200501,5847
2004/12/16,200412,6001
2004/11/18,200411,6063
2004/10/21,200410,5767
2004/09/16,200409,5835
2004/08/19,200408,5496
2004/07/22,200407,5298
2004/06/17,200406,5576
2004/05/20,200405,5801
2004/04/22,200404,6855
2004/03/18,200403,6586
2004/02/19,200402,6650
2004/01/28,200401,6349
2003/12/18,200312,5736
2003/11/20,200311,5850
2003/10/16,200310,5946
2003/09/18,200309,5744
2003/08/21,200308,5542
2003/07/17,200307,5392
2003/06/19,200306,5031
2003/05/22,200305,4197
2003/04/17,200304,4609
2003/03/20,200303,4578
2003/02/20,200302,4559
2003/01/16,200301,5053
2002/12/19,200212,4492
2002/11/21,200211,4712
2002/10/17,200210,4192
2002/09/19,200209,4491
2002/08/22,200208,4924
2002/07/18,200207,5240
2002/06/20,200206,5306
2002/05/16,200205,5873
2002/04/18,200204,6430
2002/03/21,200203,5989
2002/02/21,200202,5743
2002/01/17,200201,5387
2001/12/20,200112,5179
