Date,Settlement Price
2001-12-31,5598
2002-01-31,5831
2002-02-27,5700
2002-03-29,6145
2002-04-30,6100
2002-05-31,5632
2002-06-28,5147
2002-07-31,4895
2002-08-30,4746
2002-09-30,4123
2002-10-31,4549
2002-11-29,4670
2002-12-31,4405
2003-01-28,5022
2003-02-27,4408
2003-03-31,4286
2003-04-30,4135
2003-05-30,4510
2003-06-30,4885
2003-07-31,5330
2003-08-29,5668
2003-09-30,5641
2003-10-31,6068
2003-11-28,5808
2003-12-31,5903
2004-01-30,6381
2004-02-27,6802
2004-03-31,6480
2004-04-30,6020
2004-05-31,5928
2004-06-30,5750
2004-07-30,5356
2004-08-31,5763
2004-09-30,5889
2004-10-29,5691
2004-11-30,5809
2004-12-31,6188
2005-01-31,5982
2005-02-25,6219
2005-03-31,6010
2005-04-29,5770
2005-05-31,5943
2005-06-30,6199
2005-07-29,6277
2005-08-31,6050
2005-09-30,6095
2005-10-31,5775
2005-11-30,6187
2005-12-30,6595
2006-01-25,6532
2006-02-27,6530
2006-03-31,6561
2006-04-28,7180
2006-05-30,6844
2006-06-30,6655
2006-07-31,6361
2006-08-31,6621
2006-09-29,6877
2006-10-31,7002
2006-11-30,7542
2006-12-29,7880
2007-01-31,7734
2007-02-27,7925
2007-03-30,7834
2007-04-30,7850
2007-05-31,8171
2007-06-29,8808
2007-07-31,9176
2007-08-31,8976
2007-09-29,9492
2007-10-31,9777
2007-11-30,8609
2007-12-31,8483
2008-01-31,7463
2008-02-29,8341
2008-03-31,8520
2008-04-30,8933
2008-05-30,8649
2008-06-30,7417
2008-07-31,7002
2008-08-29,7053
2008-09-30,5546
2008-10-31,4838
2008-11-28,4459
2008-12-31,4548
2009-01-21,4258
2009-02-27,4512
2009-03-31,5199
2009-04-30,6015
2009-05-27,6931
2009-06-30,6384
2009-07-31,7032
2009-08-31,6757
2009-09-30,7489
2009-10-30,7283
2009-11-30,7557
2009-12-31,8201
2010-01-29,7581
2010-02-26,7383
2010-03-31,7908
2010-04-30,7989
2010-05-31,7325
2010-06-30,7153
2010-07-30,7680
2010-08-31,7559
2010-09-30,8216
2010-10-29,8302
2010-11-30,8401
2010-12-31,8987
2011-01-28,9136
2011-02-25,8615
2011-03-31,8640
2011-04-29,9024
2011-05-31,9018
2011-06-30,8505
2011-07-29,8610
2011-08-31,7707
2011-09-30,7181
2011-10-31,7562
2011-11-30,6902
2011-12-30,7039
2012-01-31,7468
2012-02-29,8111
2012-03-30,7886
2012-04-30,7465
2012-05-31,7217
2012-06-29,7114
2012-07-31,7157
2012-08-31,7382
2012-09-28,7719
2012-10-31,7141
2012-11-30,7594
2012-12-28,7677
2013-01-31,7846
2013-02-27,7879
2013-03-29,7923
2013-04-30,8098
2013-05-31,8242
2013-06-28,7828
2013-07-31,8049
2013-08-30,7972
2013-09-30,8121
2013-10-31,8429
2013-11-29,8425
2013-12-31,8633
2014-01-27,8449
2014-02-27,8625
2014-03-31,8790
2014-04-30,8755
2014-05-30,9089
2014-06-30,9290
2014-07-31,9290
2014-08-29,9471
2014-09-30,8991
2014-10-31,8975
2014-11-28,9179
2014-12-31,9281
2015-01-30,9398
2015-02-26,9648
2015-03-31,9582
2015-04-30,9877
2015-05-29,9703
2015-06-30,9211
2015-07-31,8575
2015-08-31,7973
2015-09-30,8135
2015-10-30,8570
2015-11-30,8297
2015-12-31,8275
2016-01-30,8164
2016-02-26,8389
2016-03-31,8716
2016-04-29,8311
2016-05-31,8510
2016-06-30,8519
2016-07-29,8894
2016-08-31,8976
2016-09-30,9130
2016-10-31,9284
2016-11-30,9227
2016-12-30,9262
2017-01-24,9442
2017-02-24,9760
2017-03-31,9821
2017-04-28,9856
2017-05-31,10029
2017-06-30,10252
2017-07-31,10355
2017-08-31,10550
2017-09-30,10379
2017-10-31,10782
2017-11-30,10576
2017-12-29,10633
2018-01-31,11098
2018-02-27,10789
2018-03-31,10924
2018-04-30,10653
2018-05-31,10865
2018-06-29,10677
2018-07-31,10990
2018-08-31,11022
2018-09-28,10955
2018-10-31,9725
2018-11-30,9854
2018-12-28,9669
2019-01-30,9924
2019-02-27,10361
2019-03-29,10598
2019-04-30,10952
2019-05-31,10455
2019-06-28,10577
2019-07-31,10736
2019-08-30,10577
2019-09-27,10823
2019-10-31,11344
2019-11-29,11464
2019-12-31,11994
2020-01-31,11469
2020-02-27,11276
2020-03-31,9595
2020-04-30,10947
2020-05-29,10919
2020-06-30,11470
